archiveType,colour,date,heading,lead,photoUrl,photoUrlCropType,role,type,url,year
audio,#FF9F7C,2023-01-30T00:00:00Z,UUDISED. Toidupoes valitakse kaupa hoolikamalt kui aasta tagasi,"Statistikaameti esialgsetel andmetel oli jaekaubandusettevõtete müügitulu eelmisel aastal kokku 10,5 miljardit eurot. Võrreldes üle-eelmise aastaga suurenes müügitulu püsivhindades kaks protsenti. Toidukaupluste müügitulu aga kukkus kolm protsenti. Detsembris oli langus juba kaheksa protsenti.
Maxima Eesti müügiosakonna juht Marge Kikas; reporter Indrek Kiisler",NA,file,content,audio,uudised-toidupoes-valitakse-kaupa-hoolikamalt-kui-aasta-tagasi,2023
audio,#1BABA1,2023-01-30T00:00:00Z,UUDISED. Tartu Ülikooli peahoone esine kujundatakse ümber,"Tartu Ülikooli peahoone esine tänav ehitatakse juba sel aastal ümber. Ülikooli tänava Rüütli ja Gildi tänavate vaheliselt lõigult kaob autoliiklus ja uut ruumi tuleb jalakäijatele ja jalgratturitele.
Tartu Ülikooli kantsler Kstina Vallimäe; Tartu endine abilinnapea Gea Kangilaski; Antoniuse hotelli juhatuse liige Kaspar Kokk; Tartu teedeteenistuse juhataja Oleg Lužetski; reporter Laura Jõgar",NA,file,content,audio,uudised-tartu-ulikooli-peahoone-esine-kujundatakse-umber,2023
audio,#1BABA1,2023-01-30T00:00:00Z,UUDISED. Tammsaare pargis avatakse teatrikunstnike näitus,"30. jaanuari õhtul avatakse Tammsaare pargis teatrikunstnike näitus. Piduliku avamise teemad on ilu ja julgus. Näitusel on väljas fotod kaheteistkümne auhindu pälvinud teatrikunstniku teostest ning ka maketid.
Näituse kuraator Mae Kivilo; Eesti Lavastuskunstnike Liidu esimees Karmo Mende; reporter Maria Kruusement",NA,file,content,audio,uudised-tammsaare-pargis-avatakse-teatrikunstnike-naitus,2023
audio,#FF9F7C,2023-01-30T00:00:00Z,UUDISED. Paljudel lemmikloomadel pole registrisse kantud kiipi,"Kuigi mitmes Eesti omavalitsuses on kasside ja koerte kiipimine kohustuslik, on jätkuvalt keeruline leida üles paljude kadunud loomade omanikke. Igal pool seda kohustust pole ning puudub ka ühtne lemmikloomaregister.
Tartu linnapuhastuse peaspetsialist Madis Tammeorg; Eesti Loomakaitse Seltsi otseabistamisejuht Elis Järvsoo; reporter Laura Jõgar",NA,file,content,audio,uudised-paljudel-lemmikloomadel-pole-registrisse-kantud-kiipi,2023
audio,#669DED,2023-01-30T00:00:00Z,UUDISED. Mall Mälberg. Väliskommentaar,"Paar päeva tagasi rünnati droonidega Iraanis Isfahani linnas asuvat sõjatehast. Mis rünnakute kohta seni teada on, uuris Mall Mälberg.",NA,file,content,audio,uudised-mall-malberg-valiskommentaar-406380,2023
audio,#FF9F7C,2023-01-30T00:00:00Z,UUDISED. Lõviosa heitekvoodi müügist läheb energiahinna tõusu leevendamiseks,"Euroopa Liidu kauplemissüsteemi heitekvoodi müügist teenis riik mullu üle 300 miljoni euro. Kolmandik sellest kulub kõrge energiahinna tõusu leevendamiseks.
Keskkonnaminister Madis Kallas; majandus- ja taristuminister Riina Sikkut; reporter Joakim Klementi",NA,file,content,audio,uudised-loviosa-heitekvoodi-muugist-laheb-energiahinna-tousu-leevendamiseks,2023
audio,#FF9F7C,2023-01-30T00:00:00Z,UUDISED. Kohtla-Järve linnaeelarve on kuue miljoni euroga miinuses,"Kohtla-Järve on hädas linnaeelarve tasakaalu saamisega, sest praegu on see kuue miljoni euroga miinuses. Olukorra teeb keerulisemaks asjaolu, et Kohtla-Järvel pole kolme kuuga suudetud valida uut linnavalitsust.
Kohtla-Järve volikogu eelarvekomisjoni esimees Daniil Starodubtsev; Kohtla-Järve linnavalitsuse finantsteenistuse juht Elina Visk; riigihalduse minister Riina Solman; reporter Rene Kundla",NA,file,content,audio,uudised-kohtla-jarve-linnaeelarve-on-kuue-miljoni-euroga-miinuses,2023
audio,#FC7E8A,2023-01-30T00:00:00Z,UUDISED. Kaitseliidu Pärnumaa malev kavandab Pärnus maadevahetust,"Kaitseliidu Pärnumaa malev kavandab Pärnus maadevahetust, andes linnale kaks hoonestatud kinnistut ja saades vastu ligi 30 hektarit maad, mida kasutada lähiharjutusalana. Kui tehing linnaga peaks katki jääma, pakub Kaitseliidule sealsamas maad Tori vald.
Kaitseliidu Pärnumaa maleva pealik Tõnu Miil; Kaluriküla peremees Jakob Kose; Tori vallavanem Lauri Luur; reporter Ester Vilgats",NA,file,content,audio,uudised-kaitseliidu-parnumaa-malev-kavandab-parnus-maadevahetust,2023
audio,#FF9F7C,2023-01-30T00:00:00Z,UUDISED. Kahe nädalaga on universaalteenusest loobunud 4500 klienti,"Tulevikutehingud ennustavad elektrienergia universaalteenusest soodsamat börsihinda vähemalt kuni augustini. Börsipaketi ja universaalteenuse vahel võivad kliendid pendeldada kuni 2026. aastani.
Eesti Energia energiatoodete juht Armen Kasparov; reporter Madis Hindre",NA,file,content,audio,uudised-kahe-nadalaga-on-universaalteenusest-loobunud-4500-klienti,2023
audio,#AD81A2,2023-01-30T00:00:00Z,"UUDISED. Haapsalu raamatukogus esitati Tammsaare näidendit ""Kuningal on külm""","Haapsalu raamatukogus tähistati eesti kirjanduse päeva üritusega, kus 12 esineja poolt loeti ette Anton Hansen Tammsaare näidend ""Kuningal on külm"".
Läänemaa Ühisgümnaasiumi eesti keele ja kirjanduse õpetaja Tiina Brock; Lääne Maakonna Keskraamatukogu direktor Ilme Sepp; reporter Juhan Hepner",NA,file,content,audio,uudised-haapsalu-raamatukogus-esitati-tammsaare-naidendit-kuningal-on-kulm,2023
audio,#FF9F7C,2023-01-30T00:00:00Z,UUDISED. Abielusõlmimise õigus võib laieneda erasektorisse,"Siseministeerium kaalub võimalust laiendada abielu sõlmimise õigus erasektorile. Praegu võivad abielu sõlmida perekonnaseisuametnikud, notarid ja vaimulikud.
Siseministeeriumi rahvastiku toimingute osakonna nõunik Mari Käbi; Tallinna Perekonnaseisuameti juhataja asetäitja Kristi Kail; reporter Madis Hindre",NA,file,content,audio,uudised-abielusolmimise-oigus-voib-laieneda-erasektorisse,2023
audio,#FC7E8A,2023-01-29T00:00:00Z,UUDISED. Sandra Saar. Teadusuudised,"Harjumaal Viimsi Artiumi ja Haabneeme kooli ees reguleerivad liiklust kaks nutikat ülekäigurada, mille abil loodetakse piirkonnas vähendada liiklusõnnetuste arvu.
Novaatori teadustoimetaja Sandra Saar; Transpordiameti teede projekteerimise ekspert Taavi Tõnts; Tallinna Tehnikaülikooli külalislektor Juri Ess",NA,file,content,audio,uudised-sandra-saar-teadusuudised-406289,2023
audio,#669DED,2023-01-29T00:00:00Z,UUDISED. Saaremaa vald müüb valdade ühinemisel kaasa saadud kinnisvara,"Saaremaa vald sai viis aastat tagasi valdade ühinemisel kaasa enam kui poolsada kinnisvaraobjekti, mida aga suurel vallal pole vaja ja mis nüüd ära müüakse. Vallavanem Mikk Tuisk kinnitas, et otseselt rahapuudusest seda ei tehta, aga majanduslikult keerulisel ajal on valla jaoks oluline iga euro.
Mikk Tuisk; reporter Margus Muld",NA,file,content,audio,uudised-saaremaa-vald-muub-valdade-uhinemisel-kaasa-saadud-kinnisvara,2023
audio,#669DED,2023-01-29T00:00:00Z,UUDISED. Nursipalu maaomanikud on saanud riigilt vastukäivat infot,"Üle kümne maaomaniku, kelle elamud ja maad jäävad planeeritava Nursipalu harjutusvälja lähedusse, on uurinud võimalust oma maa riigile müüa. Kuigi kaitseminister on korduvalt öelnud, et riik on harjutusvälja läheduses olevatest maadest huvitatud, on riigi vastused maaomanikele olnud hoopis vastupidised.
Kaitseminister Hanno Pevkur; Luhametsa küla elanik Janyka Vellak; taluomaniku tütar Liia Pärna; Lumeni kinnisvarabüroo maakler Keidy Nael; Kaitseinvesteeringute Keskuse koostöökoordinaator Kaupo Kaasik; reporter Mirjam Mõttus",NA,file,content,audio,uudised-nursipalu-maaomanikud-on-saanud-riigilt-vastukaivat-infot,2023
audio,#669DED,2023-01-29T00:00:00Z,UUDISED. Narva soovib paremat rongiühendust Tallinna ja Tartuga,"Narva soovib paremat rongiühendust Tallinna ja Tartuga. Elroni kinnitusel läheb rongiliiklus tihedamaks paari aasta pärast.
Linnapea Katri Raik; Elroni müügi- ja arendusjuht Ronnie Kongo; reporter Jüri Nikolajev",NA,file,content,audio,uudised-narva-soovib-paremat-rongiuhendust-tallinna-ja-tartuga,2023
audio,#1BABA1,2023-01-28T00:00:00Z,UUDISED. Rannarootsi muuseumis on Ukraina jaoks punutud üle poolesaja varjevõrgu,"Haapsalus asuv Rannarootsi muuseum pälvis möödunud nädalal Eesti muuseumide aastaauhindade jagamisel koos mitme teise muuseumiga tunnustuse Ukraina heaks varjevõrkude tegemise eest. Väikeses Rannarootsi muuseumis on vabatahtlike toel praeguseks punutud 55 varjevõrku.
Vabatahtlik Liivi Viljaste; Rannarootsi muuseumi juhataja Ülo Kalm; reporter Juhan Hepner",NA,file,content,audio,uudised-rannarootsi-muuseumis-on-ukraina-jaoks-punutud-ule-poolesaja-varjevorgu,2023
audio,#AFA2EA,2023-01-28T00:00:00Z,"UUDISED. Endlas esietendub improvisatsiooniline ""Dip""","Laupäeval jõuab Endla Küünis publiku ette lavastus ""Dip"", mida selle autor ja lavastaja Toomas Saarepera on nimetanud eksistentsiaalseks realismiks. Kuna improvisatsioonil on selles lavastuses suur roll, siis kaht sarnast etendust ei jõua publikuni kunagi.
Toomas Saarepera; muusikaline kujundaja Taavi Kerikmäe; reporter Ester Vilgats",NA,file,content,audio,uudised-endlas-esietendub-improvisatsiooniline-dip,2023
